----------------------------------------------------- 修改了损失函数和训练参数 -------------------------------------------------------------------
----------------------------------------------------- MLP + 2头 + 20% ---------------------------------------------------------------------------
Experiment 1 ---------- delete 20% 
Search Stage:
Epoch 00270 | Loss: 0.530 | train acc: 0.850 | val acc: 0.898 (best 0.000) | test acc: 0.884 (best 0.000) | Time(s) 0.1703
Epoch 00275 | Loss: 0.524 | train acc: 0.857 | val acc: 0.898 (best 0.000) | test acc: 0.886 (best 0.000) | Time(s) 0.1702
Epoch 00280 | Loss: 0.522 | train acc: 0.857 | val acc: 0.900 (best 0.000) | test acc: 0.889 (best 0.000) | Time(s) 0.1702
Epoch 00285 | Loss: 0.515 | train acc: 0.857 | val acc: 0.904 (best 0.000) | test acc: 0.888 (best 0.000) | Time(s) 0.1702
Epoch 00290 | Loss: 0.510 | train acc: 0.850 | val acc: 0.902 (best 0.000) | test acc: 0.889 (best 0.000) | Time(s) 0.1702
Epoch 00295 | Loss: 0.504 | train acc: 0.864 | val acc: 0.902 (best 0.000) | test acc: 0.890 (best 0.000) | Time(s) 0.1702
Epoch 00300 | Loss: 0.500 | train acc: 0.864 | val acc: 0.904 (best 0.000) | test acc: 0.891 (best 0.000) | Time(s) 0.1701
Epoch 00305 | Loss: 0.496 | train acc: 0.864 | val acc: 0.906 (best 0.000) | test acc: 0.892 (best 0.000) | Time(s) 0.1701
Epoch 00310 | Loss: 0.493 | train acc: 0.864 | val acc: 0.906 (best 0.000) | test acc: 0.894 (best 0.000) | Time(s) 0.1701
Epoch 00315 | Loss: 0.488 | train acc: 0.864 | val acc: 0.906 (best 0.000) | test acc: 0.894 (best 0.000) | Time(s) 0.1701
Epoch 00320 | Loss: 0.483 | train acc: 0.864 | val acc: 0.906 (best 0.000) | test acc: 0.894 (best 0.000) | Time(s) 0.1700
Epoch 00325 | Loss: 0.478 | train acc: 0.864 | val acc: 0.906 (best 0.000) | test acc: 0.895 (best 0.000) | Time(s) 0.1700
